GENE.NAME,ID,start,end,X,PMM,seq_id,strand,bound_moiety,em_BRITE,em_BiGG_Reaction,em_CAZy,em_COG_cat,em_EC,em_GOs,em_KEGG_Module,em_KEGG_Pathway,em_KEGG_Reaction,em_KEGG_TC,em_KEGG_ko,em_KEGG_rclass,em_OGs,em_PFAMs,em_Preferred_name,em_desc,em_evalue,em_max_annot_lvl,em_score,em_target,em_tcov,end_range,gene,product,protein_id,type
dnaJ,cds-WP_011131655.1,19034,20158,17,PMM0017,NC_005072.1,+,NA,"ko00000,ko03029,ko03110",,,O,,"GO:0000166,GO:0003674,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006259,GO:0006260,GO:0006457,GO:0006725,GO:0006807,GO:0006950,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009266,GO:0009408,GO:0009628,GO:0009987,GO:0017076,GO:0030554,GO:0031072,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034645,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0046872,GO:0050896,GO:0051082,GO:0071704,GO:0090304,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901363,GO:1901576",,,,,ko:K03686,,"COG0484@1|root,COG0484@2|Bacteria,1G0IY@1117|Cyanobacteria,1MKYA@1212|Prochloraceae","DnaJ,DnaJ_C,DnaJ_CXXCXGXG",dnaJ,"ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins",2.43E-245,1117|Cyanobacteria,676,59919.PMM0017,100,,dnaJ,molecular chaperone DnaJ,WP_011131655.1,CDS
sirA,cds-WP_011131656.1,20155,20388,18,PMM0018,NC_005072.1,+,NA,"ko00000,ko00001,ko00002,ko01000",,,O,1.8.7.1,,M00176,"ko00920,ko01100,ko01120,map00920,map01100,map01120","R00859,R03600",,ko:K00392,RC00065,"COG0425@1|root,COG0425@2|Bacteria","NIR_SIR,NIR_SIR_ferr,TusA",sirA,sulfur carrier activity,2.41E-45,2|Bacteria,146,59919.PMM0018,100,,,sulfurtransferase TusA family protein,WP_011131656.1,CDS
rsgA,cds-WP_011131657.1,20378,21295,19,PMM0019,NC_005072.1,+,NA,"ko00000,ko00001,ko01000,ko03009",,,S,3.1.3.100,"GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0003924,GO:0005488,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0008150,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0019843,GO:0022613,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0035639,GO:0036094,GO:0042254,GO:0043167,GO:0043168,GO:0043169,GO:0044085,GO:0044424,GO:0044464,GO:0046872,GO:0071840,GO:0097159,GO:0097367,GO:1901265,GO:1901363",,"ko00730,ko01100,map00730,map01100","R00615,R02135",,ko:K06949,"RC00002,RC00017","COG1162@1|root,COG1162@2|Bacteria,1FZYE@1117|Cyanobacteria,1MKRY@1212|Prochloraceae",RsgA_GTPase,rsgA,"One of several proteins that assist in the late maturation steps of the functional core of the 30S ribosomal subunit. Helps release RbfA from mature subunits. May play a role in the assembly of ribosomal proteins into the subunit. Circularly permuted GTPase that catalyzes slow GTP hydrolysis, GTPase activity is stimulated by the 30S ribosomal subunit",1.80E-219,1117|Cyanobacteria,605,59919.PMM0019,100,,rsgA,ribosome small subunit-dependent GTPase A,WP_011131657.1,CDS
PMM0020,cds-WP_011131658.1,21261,21611,20,PMM0020,NC_005072.1,-,NA,ko00000,,,S,,"GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009295,GO:0044424,GO:0044464,GO:0097159,GO:1901363",,,,,ko:K09747,,"COG0718@1|root,COG0718@2|Bacteria,1G6TX@1117|Cyanobacteria,1MMK8@1212|Prochloraceae",YbaB_DNA_bd,,"Binds to DNA and alters its conformation. May be involved in regulation of gene expression, nucleoid organization and DNA protection",1.70E-72,1117|Cyanobacteria,218,59919.PMM0020,100,,,YbaB/EbfC family nucleoid-associated protein,WP_011131658.1,CDS
murB,cds-WP_011131659.1,21634,22524,21,PMM0021,NC_005072.1,-,NA,"ko00000,ko00001,ko01000,ko01011",,,M,1.3.1.98,"GO:0000166,GO:0000270,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006022,GO:0006023,GO:0006024,GO:0006807,GO:0007049,GO:0008150,GO:0008152,GO:0008360,GO:0008762,GO:0009058,GO:0009059,GO:0009252,GO:0009273,GO:0009987,GO:0016043,GO:0016491,GO:0016614,GO:0016616,GO:0022603,GO:0022604,GO:0030203,GO:0034645,GO:0036094,GO:0042546,GO:0043167,GO:0043168,GO:0043170,GO:0044036,GO:0044038,GO:0044085,GO:0044237,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0045229,GO:0048037,GO:0050660,GO:0050662,GO:0050789,GO:0050793,GO:0050794,GO:0051128,GO:0051301,GO:0055114,GO:0065007,GO:0065008,GO:0070589,GO:0071554,GO:0071555,GO:0071704,GO:0071840,GO:0097159,GO:1901135,GO:1901137,GO:1901265,GO:1901363,GO:1901564,GO:1901566,GO:1901576",,"ko00520,ko00550,ko01100,map00520,map00550,map01100","R03191,R03192",,ko:K00075,RC02639,"COG0812@1|root,COG0812@2|Bacteria,1FZXZ@1117|Cyanobacteria,1MKEB@1212|Prochloraceae","FAD_binding_4,MurB_C",murB,Cell wall formation,5.11E-210,1117|Cyanobacteria,580,59919.PMM0021,100,,murB,UDP-N-acetylmuramate dehydrogenase,WP_011131659.1,CDS
murC,cds-WP_011131660.1,22532,23953,22,PMM0022,NC_005072.1,-,NA,"ko00000,ko00001,ko01000,ko01011",iJN678.murC,,M,6.3.2.8,"GO:0000166,GO:0000270,GO:0003674,GO:0003824,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006022,GO:0006023,GO:0006024,GO:0006807,GO:0007049,GO:0008144,GO:0008150,GO:0008152,GO:0008360,GO:0008763,GO:0009058,GO:0009059,GO:0009252,GO:0009273,GO:0009987,GO:0016043,GO:0016874,GO:0016879,GO:0016881,GO:0017076,GO:0022603,GO:0022604,GO:0030203,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034645,GO:0035639,GO:0036094,GO:0042546,GO:0043167,GO:0043168,GO:0043170,GO:0044036,GO:0044038,GO:0044085,GO:0044237,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0045229,GO:0050789,GO:0050793,GO:0050794,GO:0051128,GO:0051301,GO:0065007,GO:0065008,GO:0070589,GO:0071554,GO:0071555,GO:0071704,GO:0071840,GO:0097159,GO:0097367,GO:1901135,GO:1901137,GO:1901265,GO:1901363,GO:1901564,GO:1901566,GO:1901576",,"ko00471,ko00550,ko01100,map00471,map00550,map01100",R03193,,ko:K01924,"RC00064,RC00141","COG0773@1|root,COG0773@2|Bacteria,1G07H@1117|Cyanobacteria,1MKY6@1212|Prochloraceae","Mur_ligase,Mur_ligase_C,Mur_ligase_M",murC,Belongs to the MurCDEF family,0,1117|Cyanobacteria,931,59919.PMM0022,100,,murC,UDP-N-acetylmuramate--L-alanine ligase,WP_011131660.1,CDS
gap2,cds-WP_011131661.1,24150,25172,23,PMM0023,NC_005072.1,+,NA,"ko00000,ko00001,ko00002,ko01000",,,G,1.2.1.59,"GO:0000166,GO:0003674,GO:0003824,GO:0004365,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005975,GO:0005996,GO:0006006,GO:0006082,GO:0006090,GO:0006091,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0015977,GO:0015979,GO:0016051,GO:0016052,GO:0016053,GO:0016310,GO:0016491,GO:0016620,GO:0016903,GO:0017144,GO:0018130,GO:0019253,GO:0019318,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019685,GO:0019693,GO:0019752,GO:0032787,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0036094,GO:0042866,GO:0043436,GO:0043891,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046031,GO:0046034,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046939,GO:0048037,GO:0050661,GO:0050662,GO:0051186,GO:0051188,GO:0051287,GO:0055086,GO:0055114,GO:0071704,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:0097159,GO:1901135,GO:1901137,GO:1901265,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901575,GO:1901576","M00001,M00002,M00003,M00165,M00166","ko00010,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00710,map01100,map01110,map01120,map01130,map01200,map01230","R01061,R01063",,ko:K00150,RC00149,"COG0057@1|root,COG0057@2|Bacteria,1G0V1@1117|Cyanobacteria,1MKBP@1212|Prochloraceae","Gp_dh_C,Gp_dh_N",gap2,Belongs to the glyceraldehyde-3-phosphate dehydrogenase family,1.17E-244,1117|Cyanobacteria,672,59919.PMM0023,100,,gap,type I glyceraldehyde-3-phosphate dehydrogenase,WP_011131661.1,CDS
thiL,cds-WP_011131662.1,25173,26159,24,PMM0024,NC_005072.1,-,NA,"ko00000,ko00001,ko00002,ko01000",,,F,2.7.4.16,"GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0005524,GO:0006725,GO:0006732,GO:0006766,GO:0006767,GO:0006772,GO:0006790,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009030,GO:0009058,GO:0009108,GO:0009110,GO:0009228,GO:0009229,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016776,GO:0017076,GO:0017144,GO:0018130,GO:0019438,GO:0019637,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0035639,GO:0036094,GO:0042357,GO:0042364,GO:0042723,GO:0042724,GO:0043167,GO:0043168,GO:0043169,GO:0044237,GO:0044249,GO:0044271,GO:0044272,GO:0044281,GO:0044283,GO:0046483,GO:0046872,GO:0051186,GO:0051188,GO:0071704,GO:0072527,GO:0072528,GO:0090407,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576",M00127,"ko00730,ko01100,map00730,map01100",R00617,,ko:K00946,RC00002,"COG0611@1|root,COG0611@2|Bacteria,1G1ZP@1117|Cyanobacteria,1MKTS@1212|Prochloraceae","AIRS,AIRS_C",thiL,"Catalyzes the ATP-dependent phosphorylation of thiamine- monophosphate (TMP) to form thiamine-pyrophosphate (TPP), the active form of vitamin B1",2.08E-241,1117|Cyanobacteria,662,59919.PMM0024,100,,,thiamine-phosphate kinase,WP_011131662.1,CDS
PMM0025,cds-WP_011131663.1,26152,27243,25,PMM0025,NC_005072.1,-,NA,"ko00000,ko01000",,,M,5.2.1.8,,,,,,ko:K01802,,"COG0652@1|root,COG0652@2|Bacteria,1GC7X@1117|Cyanobacteria,1MKK1@1212|Prochloraceae",Pro_isomerase,,peptidyl-prolyl cis-trans isomerase,7.22E-262,1117|Cyanobacteria,717,59919.PMM0025,100,,,peptidylprolyl isomerase,WP_011131663.1,CDS
efp,cds-WP_011131664.1,27287,27847,26,PMM0026,NC_005072.1,+,NA,"ko00000,ko03012",,,J,,"GO:0003674,GO:0003676,GO:0003723,GO:0003746,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006412,GO:0006414,GO:0006518,GO:0006807,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0019538,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576",,,,,ko:K02356,,"COG0231@1|root,COG0231@2|Bacteria,1G0AE@1117|Cyanobacteria,1MM11@1212|Prochloraceae","EFP,EFP_N,Elong-fact-P_C",efp,"Involved in peptide bond synthesis. Stimulates efficient translation and peptide-bond synthesis on native or reconstituted 70S ribosomes in vitro. Probably functions indirectly by altering the affinity of the ribosome for aminoacyl-tRNA, thus increasing their reactivity as acceptors for peptidyl transferase",5.18E-128,1117|Cyanobacteria,364,59919.PMM0026,100,,efp,elongation factor P,WP_011131664.1,CDS
accB,cds-WP_011131665.1,27847,28353,27,PMM0027,NC_005072.1,+,NA,"ko00000,ko00001,ko00002",,,I,,"GO:0003674,GO:0003824,GO:0003989,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006629,GO:0006631,GO:0006633,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009317,GO:0009987,GO:0016053,GO:0016421,GO:0016874,GO:0016885,GO:0019752,GO:0032787,GO:0032991,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0071704,GO:0072330,GO:1901576,GO:1902494","M00082,M00376","ko00061,ko00620,ko00640,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,map00061,map00620,map00640,map00720,map01100,map01110,map01120,map01130,map01200,map01212",R00742,,ko:K02160,"RC00040,RC00367","COG0511@1|root,COG0511@2|Bacteria,1G6MY@1117|Cyanobacteria,1MMF9@1212|Prochloraceae",Biotin_lipoyl,accB,"first, biotin carboxylase catalyzes the carboxylation of the carrier protein and then the transcarboxylase transfers the carboxyl group to form malonyl-CoA",2.16E-109,1117|Cyanobacteria,315,59919.PMM0027,100,,accB,acetyl-CoA carboxylase biotin carboxyl carrier protein,WP_011131665.1,CDS
pdxA,cds-WP_011131666.1,28330,29370,28,PMM0028,NC_005072.1,-,NA,"ko00000,ko00001,ko00002,ko01000",,,C,1.1.1.262,"GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006081,GO:0006725,GO:0006732,GO:0006766,GO:0006767,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008614,GO:0008615,GO:0009058,GO:0009108,GO:0009110,GO:0009987,GO:0016491,GO:0016614,GO:0016616,GO:0017144,GO:0018130,GO:0019438,GO:0019637,GO:0034641,GO:0036094,GO:0042364,GO:0042816,GO:0042819,GO:0042822,GO:0042823,GO:0043167,GO:0043169,GO:0044237,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046184,GO:0046483,GO:0046872,GO:0048037,GO:0050570,GO:0050662,GO:0051186,GO:0051188,GO:0051287,GO:0055114,GO:0071704,GO:0072524,GO:0072525,GO:0090407,GO:0097159,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901615,GO:1901617",M00124,"ko00750,ko01100,map00750,map01100","R05681,R05837,R07406",,ko:K00097,"RC00089,RC00675,RC01475","COG1995@1|root,COG1995@2|Bacteria,1G1U1@1117|Cyanobacteria,1MKKJ@1212|Prochloraceae",PdxA,pdxA,Belongs to the PdxA family,8.35E-257,1117|Cyanobacteria,703,59919.PMM0028,100,,pdxA,4-hydroxythreonine-4-phosphate dehydrogenase PdxA,WP_011131666.1,CDS
PMM0029,cds-WP_011131667.1,29363,30250,29,PMM0029,NC_005072.1,-,NA,,,,GM,,,,,,,,,"COG0451@1|root,COG0451@2|Bacteria,1G4K7@1117|Cyanobacteria,1MKQG@1212|Prochloraceae",Epimerase,,Alternative locus ID,3.93E-218,1117|Cyanobacteria,601,59919.PMM0029,100,,,SDR family oxidoreductase,WP_011131667.1,CDS
PMM0031,cds-WP_011131669.1,30526,30930,31,PMM0031,NC_005072.1,-,NA,,,,L,,,,,,,,,"COG1403@1|root,COG1403@2|Bacteria,1GDQQ@1117|Cyanobacteria,1MMAA@1212|Prochloraceae","HNH,HNH_5",,Alternative locus ID,1.16E-101,1117|Cyanobacteria,293,59919.PMM0031,100,,,HNH endonuclease,WP_011131669.1,CDS
PMM0032,cds-WP_011131670.1,31101,31520,32,PMM0032,NC_005072.1,-,NA,,,,S,,,,,,,,,"29ZJ0@1|root,30MJ7@2|Bacteria,1GI9M@1117|Cyanobacteria,1MM9D@1212|Prochloraceae",,,Alternative locus ID,1.02E-93,1117|Cyanobacteria,273,59919.PMM0032,100,,,hypothetical protein,WP_011131670.1,CDS
PMM0033,cds-WP_011131671.1,31579,32091,33,PMM0033,NC_005072.1,-,NA,ko00000,,,S,,,,,,,ko:K07120,,"COG3180@1|root,COG3180@2|Bacteria,1GBXF@1117|Cyanobacteria,1MM14@1212|Prochloraceae",AbrB,,Alternative locus ID,2.81E-106,1117|Cyanobacteria,308,59919.PMM0033,100,,,AbrB family transcriptional regulator,WP_011131671.1,CDS
PMM0034,cds-WP_011131672.1,32335,32532,34,PMM0034,NC_005072.1,+,NA,,,,S,,,,,,,,,"2DC96@1|root,2ZDAV@2|Bacteria,1GFT6@1117|Cyanobacteria,1MN2H@1212|Prochloraceae",,,Alternative locus ID,4.15E-34,1117|Cyanobacteria,117,1471522.JFNU01000202_gene1313,100,,,hypothetical protein,WP_011131672.1,CDS
cbiD,cds-WP_011131674.1,33758,34876,36,PMM0036,NC_005072.1,+,NA,"ko00000,ko00001,ko01000",,,H,2.1.1.195,"GO:0003674,GO:0003824,GO:0006725,GO:0006766,GO:0006767,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0009058,GO:0009110,GO:0009235,GO:0009236,GO:0009987,GO:0016740,GO:0016741,GO:0017144,GO:0018130,GO:0019438,GO:0032259,GO:0033013,GO:0033014,GO:0034641,GO:0042364,GO:0044237,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0046483,GO:0051186,GO:0051188,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576",,"ko00860,ko01100,map00860,map01100",R07773,,ko:K02188,"RC00003,RC02051","COG1903@1|root,COG1903@2|Bacteria,1G0TC@1117|Cyanobacteria,1MKUG@1212|Prochloraceae",CbiD,cbiD,Catalyzes the methylation of C-1 in cobalt-precorrin-5B to form cobalt-precorrin-6A,5.31E-264,1117|Cyanobacteria,723,59919.PMM0036,100,,cbiD,cobalt-precorrin-5B (C(1))-methyltransferase CbiD,WP_011131674.1,CDS
guaA,cds-WP_011131675.1,34925,36511,37,PMM0037,NC_005072.1,+,NA,"ko00000,ko00001,ko00002,ko01000,ko01002",,,F,6.3.5.2,"GO:0000166,GO:0003674,GO:0003824,GO:0003921,GO:0003922,GO:0005488,GO:0005524,GO:0006082,GO:0006139,GO:0006163,GO:0006164,GO:0006177,GO:0006520,GO:0006541,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009064,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009163,GO:0009165,GO:0009167,GO:0009168,GO:0009259,GO:0009260,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016874,GO:0016879,GO:0016884,GO:0017076,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0019752,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034404,GO:0034641,GO:0034654,GO:0035639,GO:0036094,GO:0042278,GO:0042451,GO:0042455,GO:0043167,GO:0043168,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0046037,GO:0046128,GO:0046129,GO:0046390,GO:0046483,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:0097159,GO:0097367,GO:1901068,GO:1901070,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901657,GO:1901659",M00050,"ko00230,ko00983,ko01100,map00230,map00983,map01100","R01230,R01231,R08244",,ko:K01951,"RC00010,RC00204","COG0519@1|root,COG0519@2|Bacteria,1G06N@1117|Cyanobacteria,1MKN6@1212|Prochloraceae","GATase,GMP_synt_C,NAD_synthase",guaA,Catalyzes the synthesis of GMP from XMP,0,1117|Cyanobacteria,1064,59919.PMM0037,100,,guaA,glutamine-hydrolyzing GMP synthase,WP_011131675.1,CDS
PMM0038,cds-WP_011131676.1,36556,37269,38,PMM0038,NC_005072.1,+,NA,,,,L,,,,,,,,,"COG2887@1|root,COG2887@2|Bacteria,1GQBR@1117|Cyanobacteria,1MKBH@1212|Prochloraceae",PDDEXK_1,,Alternative locus ID,1.64E-181,1117|Cyanobacteria,503,59919.PMM0038,100,,,PD-(D/E)XK nuclease family protein,WP_011131676.1,CDS
PMM0039,cds-WP_011131677.1,37360,37968,39,PMM0039,NC_005072.1,+,NA,,,,S,,,,,,,,,"2EXZ5@1|root,33R87@2|Bacteria,1GBIQ@1117|Cyanobacteria,1MM85@1212|Prochloraceae",,,Alternative locus ID,2.44E-143,1117|Cyanobacteria,404,59919.PMM0039,100,,,hypothetical protein,WP_011131677.1,CDS
PMM0041,cds-WP_011131679.1,40052,40576,42,PMM0041,NC_005072.1,-,NA,,,,S,,,,,,,,,"COG0431@1|root,COG0431@2|Bacteria,1G6TB@1117|Cyanobacteria,1MMGJ@1212|Prochloraceae",FMN_red,,Alternative locus ID,1.19E-118,1117|Cyanobacteria,339,59919.PMM0041,100,,,NAD(P)H-dependent oxidoreductase,WP_011131679.1,CDS
dfa3,cds-WP_011131680.1,40595,42397,43,PMM0042,NC_005072.1,-,NA,,,,C,,"GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0006091,GO:0008150,GO:0008152,GO:0009055,GO:0009987,GO:0010181,GO:0016491,GO:0022900,GO:0032553,GO:0036094,GO:0043167,GO:0043168,GO:0044237,GO:0048037,GO:0050662,GO:0055114,GO:0097159,GO:0097367,GO:1901265,GO:1901363",,,,,,,"COG0426@1|root,COG1853@1|root,COG0426@2|Bacteria,COG1853@2|Bacteria,1G0DJ@1117|Cyanobacteria,1MKXF@1212|Prochloraceae","Flavin_Reduct,Flavodoxin_1,Lactamase_B",dfa3,Alternative locus ID,0,1117|Cyanobacteria,1184,59919.PMM0042,100,,,diflavin flavoprotein,WP_011131680.1,CDS
dfa1,cds-WP_011131681.1,42415,44190,44,PMM0043,NC_005072.1,-,NA,,,,C,,"GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0008150,GO:0008152,GO:0010181,GO:0016491,GO:0032553,GO:0036094,GO:0043167,GO:0043168,GO:0043169,GO:0046872,GO:0048037,GO:0050662,GO:0055114,GO:0097159,GO:0097367,GO:1901265,GO:1901363",,,,,,,"COG0426@1|root,COG1853@1|root,COG0426@2|Bacteria,COG1853@2|Bacteria,1G080@1117|Cyanobacteria,1MKMQ@1212|Prochloraceae","Flavin_Reduct,Lactamase_B",dfa1,Alternative locus ID,0,1117|Cyanobacteria,1179,59919.PMM0043,100,,,diflavin flavoprotein,WP_011131681.1,CDS
alaS,cds-WP_011131682.1,44305,46965,45,PMM0044,NC_005072.1,+,NA,"ko00000,ko00001,ko00002,ko01000,ko01007,ko03016",,,J,6.1.1.7,"GO:0000049,GO:0000166,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0004812,GO:0004813,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006412,GO:0006418,GO:0006419,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008033,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016597,GO:0016874,GO:0016875,GO:0017076,GO:0019538,GO:0019752,GO:0030554,GO:0031406,GO:0032553,GO:0032555,GO:0032559,GO:0034470,GO:0034641,GO:0034645,GO:0034660,GO:0035639,GO:0036094,GO:0043038,GO:0043039,GO:0043043,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0043177,GO:0043412,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046483,GO:0046872,GO:0071704,GO:0090304,GO:0097159,GO:0097367,GO:0140098,GO:0140101,GO:1901265,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576","M00359,M00360","ko00970,map00970",R03038,,ko:K01872,"RC00055,RC00523","COG0013@1|root,COG0013@2|Bacteria,1G0NP@1117|Cyanobacteria,1MKW5@1212|Prochloraceae","DHHA1,tRNA-synt_2c,tRNA_SAD",alaS,Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged Ser-tRNA(Ala) and Gly-tRNA(Ala) via its editing domain,0,1117|Cyanobacteria,1728,59919.PMM0044,100,,alaS,alanine--tRNA ligase,WP_011131682.1,CDS
speA,cds-WP_011131683.1,46950,48896,46,PMM0045,NC_005072.1,-,NA,"ko00000,ko00001,ko00002,ko01000",,,H,4.1.1.19,"GO:0003674,GO:0003824,GO:0005488,GO:0006082,GO:0006520,GO:0006525,GO:0006527,GO:0006576,GO:0006595,GO:0006596,GO:0006807,GO:0008150,GO:0008152,GO:0008216,GO:0008295,GO:0008792,GO:0009056,GO:0009058,GO:0009063,GO:0009064,GO:0009065,GO:0009308,GO:0009309,GO:0009987,GO:0016054,GO:0016829,GO:0016830,GO:0016831,GO:0019752,GO:0034641,GO:0042401,GO:0043167,GO:0043169,GO:0043436,GO:0044106,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044271,GO:0044281,GO:0044282,GO:0046395,GO:0046872,GO:0071704,GO:0097164,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901605,GO:1901606",M00133,"ko00330,ko01100,map00330,map01100",R00566,,ko:K01585,RC00299,"COG1166@1|root,COG1166@2|Bacteria,1G1C4@1117|Cyanobacteria,1MKZB@1212|Prochloraceae",Orn_Arg_deC_N,speA,Catalyzes the biosynthesis of agmatine from arginine,0,1117|Cyanobacteria,1256,59919.PMM0045,100,,speA,biosynthetic arginine decarboxylase,WP_011131683.1,CDS
